,country,year,c_consumed,c_produced,hdi
230,Indonesia,2010,0.583392315,0.57996952,0.665
231,Israel,2010,3.84416864,3.451317651,0.895
232,Italy,2010,3.365776432,2.508422306,0.879
233,Côte d'Ivoire,2010,0.220993935,0.12079523,0.468
234,Kazakhstan,2010,4.504625461,5.018205896,0.764
235,Japan,2010,3.467086231,3.312566247,0.887
236,Jordan,2010,1.019942785,1.024585393,0.737
237,Kenya,2010,0.19635835899999998,0.111371379,0.551
238,Kuwait,2010,7.747580022,9.750936422,0.788
239,Latvia,2010,1.632896504,1.43393797,0.824
240,Lao People's Democratic Republic,2010,0.127762892,0.093792057,0.552
241,Lebanon,2010,2.515806397,1.687870645,0.766
242,Lesotho,2010,0.48296828799999997,0.3988629,0.46
243,Lithuania,2010,2.3029356069999998,1.54379868,0.831
244,Madagascar,2010,0.060426025,0.033088519,0.511
245,Malawi,2010,0.07603307200000001,0.026960711000000002,0.431
246,Malaysia,2010,2.2380758519999997,2.635613824,0.772
247,Mexico,2010,1.99744227,1.418743162,0.748
248,Nepal,2010,0.193116713,0.062094192,0.537
249,Netherlands,2010,4.474241408999999,3.9259124030000003,0.917
250,Nicaragua,2010,0.465535075,0.286491854,0.622
251,Nigeria,2010,0.302262575,0.133390355,0.482
252,Norway,2010,3.847478038,3.352169027,0.94
253,Pakistan,2010,0.38253803700000005,0.310015912,0.512
254,Panama,2010,1.5345627080000002,0.9220304840000001,0.774
255,Paraguay,2010,0.519031142,0.287749438,0.696
256,Peru,2010,0.672986196,0.541282551,0.721
257,Philippines,2010,0.39079141799999995,0.320560471,0.671
258,Poland,2010,3.028505892,3.005263148,0.84
259,Portugal,2010,2.612616128,1.770387555,0.829
260,Qatar,2010,12.33383274,12.85766508,0.834
261,Zimbabwe,2010,0.369718635,0.251166673,0.482
262,Romania,2010,1.51480419,1.422721744,0.805
263,Rwanda,2010,0.065721878,0.020592871999999998,0.492
264,Russian Federation,2010,3.7698376739999997,4.0794517489999995,0.781
265,Saint Lucia,2010,1.5780216459999998,0.8353750670000001,0.73
266,Saudi Arabia,2010,4.441195103,6.112350267999999,0.809
267,Slovenia,2010,3.6744509869999997,3.003563241,0.889
268,Slovakia,2010,3.05127702,2.622617291,0.831
269,Singapore,2010,5.258215494,3.5672508919999997,0.909
270,Spain,2010,2.699659731,2.156627622,0.872
271,Suriname,2010,2.7199730210000004,1.155832975,0.71
272,Sweden,2010,3.6413547389999996,1.90992909,0.911
273,Switzerland,2010,3.9709890160000003,2.094551849,0.941
274,Syrian Arab Republic,2010,1.178452074,1.01351162,0.672
275,Thailand,2010,1.395745728,1.295405776,0.724
276,Togo,2010,0.26414696600000004,0.137185334,0.466
277,Oman,2010,3.86257514,5.78593001,0.782
278,Tunisia,2010,1.05751188,0.889286008,0.716
279,Turkey,2010,1.8410006209999998,1.517833618,0.739
280,United Arab Emirates,2010,8.360461572,7.325337919,0.82
281,Uganda,2010,0.088519395,0.041310826,0.498
282,United Kingdom,2010,3.5575640180000003,2.776947056,0.912
283,Uzbekistan,2010,1.323091917,1.3017033409999998,0.669
284,Viet Nam,2010,0.827589059,0.615767179,0.661
285,Ethiopia,2010,0.059262498,0.027283539,0.421
286,Zambia,2010,0.146908909,0.054043025999999994,0.527
287,Belgium,2010,4.573800384,3.7356852760000003,0.91
288,Luxembourg,2010,11.41740907,7.8816766629999995,0.898
289,Serbia,2010,1.72337954,1.8923399509999999,0.766
290,Montenegro,2010,2.160933929,1.489729529,0.802
291,China,2010,2.322443406,2.367011666,0.699
